Cylinders,Displacement,Horsepower,Weight,Acceleration,Model year,Origin,MPG,Binary Classes
8,307,130,3504,12,70,North America,18,Low Level
8,350,165,3693,11.5,70,North America,15,Low Level
8,318,150,3436,11,70,North America,18,Low Level
8,304,150,3433,12,70,North America,16,Low Level
8,302,140,3449,,70,North America,17,Low Level
8,429,198,4341,10,70,North America,15,Low Level
8,454,220,4354,9,70,North America,14,Low Level
8,440,,4312,8.5,70,North America,14,Low Level
8,455,225,4425,10,70,North America,14,Low Level
8,,190,3850,8.5,70,North America,15,Low Level
8,383,170,3563,10,70,North America,15,Low Level
8,340,160,3609,8,70,North America,14,Low Level
8,400,150,,9.5,70,North America,15,Low Level
8,455,225,3086,10,70,North America,14,Low Level
4,113,95,2372,15,70,Asia,24,High Level
6,198,95,2833,15.5,70,North America,22,Low Level
6,199,97,2774,15.5,70,North America,18,Low Level
6,200,85,2587,16,70,North America,21,Low Level
4,97,88,2130,14.5,70,Asia,27,High Level
4,97,46,1835,20.5,70,Europe,26,High Level
4,110,87,,17.5,70,Europe,25,High Level
4,107,90,2430,14.5,70,Europe,24,High Level
4,104,95,2375,17.5,70,Europe,25,High Level
4,121,113,2234,12.5,70,Europe,26,High Level
6,199,90,2648,15,70,North America,21,Low Level
8,360,215,4615,14,70,North America,10,Low Level
8,307,200,4376,15,70,North America,10,Low Level
8,318,210,4382,13.5,70,North America,11,Low Level
8,304,193,4732,18.5,70,North America,9,Low Level
4,97,88,2130,14.5,71,Asia,27,High Level
4,140,90,2264,15.5,71,North America,28,High Level
4,113,95,2228,14,71,Asia,25,High Level
4,98,,2046,19,71,North America,25,High Level
6,232,100,2634,13,71,North America,19,Low Level
6,225,105,3439,15.5,71,North America,16,Low Level
6,250,100,3329,15.5,71,North America,17,Low Level
6,250,88,3302,15.5,71,North America,19,Low Level
6,232,100,3288,15.5,71,North America,18,Low Level
8,350,165,4209,12,71,North America,14,Low Level
8,400,175,4464,11.5,71,North America,14,Low Level
8,351,153,4154,13.5,71,North America,14,Low Level
8,318,150,4096,13,71,North America,14,Low Level
8,,180,4955,11.5,71,North America,12,Low Level
8,,170,4746,12,71,North America,13,Low Level
8,400,175,5140,12,71,North America,13,Low Level
6,258,110,2962,13.5,71,North America,18,Low Level
4,140,72,2408,19,71,North America,22,Low Level
6,250,100,3282,15,71,North America,19,Low Level
6,250,88,3139,14.5,71,North America,18,Low Level
4,122,86,2220,14,71,North America,23,Low Level
4,116,90,2123,14,71,Europe,28,High Level
4,79,70,2074,19.5,71,Europe,30,High Level
4,88,76,2065,14.5,71,Europe,30,High Level
4,71,65,1773,19,71,Asia,31,High Level
4,72,69,1613,18,71,Asia,35,High Level
4,97,60,1834,19,71,Europe,27,High Level
4,91,70,1955,20.5,71,North America,26,High Level
4,113,95,,15.5,72,Asia,24,High Level
4,97.5,80,2126,17,72,North America,25,High Level
4,97,54,2254,23.5,72,Europe,23,Low Level
4,140,90,2408,19.5,72,North America,20,Low Level
4,122,86,2226,16.5,72,North America,21,Low Level
8,350,165,,12,72,North America,13,Low Level
8,400,175,4385,12,72,North America,14,Low Level
8,318,150,4135,13.5,72,North America,15,Low Level
8,351,153,4129,13,72,North America,14,Low Level
8,304,150,3672,11.5,72,North America,17,Low Level
8,429,208,4633,11,72,North America,11,Low Level
8,350,155,4502,13.5,72,North America,13,Low Level
8,350,160,4456,13.5,72,North America,12,Low Level
8,,190,4422,12.5,72,North America,13,Low Level
3,70,97,2330,13.5,72,Asia,19,Low Level
8,304,150,3892,,72,North America,15,Low Level
8,307,130,4098,,72,North America,13,Low Level
8,302,140,4294,,72,North America,13,Low Level
8,318,150,4077,14,72,North America,14,Low Level
4,121,112,2933,14.5,72,Europe,18,Low Level
4,121,76,2511,18,72,Europe,22,Low Level
4,120,87,2979,19.5,72,Europe,21,Low Level
4,96,69,,18,72,Europe,26,High Level
4,122,86,,16,72,North America,22,Low Level
4,97,92,2288,17,72,Asia,28,High Level
4,120,97,2506,14.5,72,Asia,23,Low Level
4,98,80,2164,15,72,North America,28,High Level
4,97,88,2100,16.5,72,Asia,27,High Level
8,350,175,4100,13,73,North America,13,Low Level
8,304,150,3672,11.5,73,North America,14,Low Level
8,350,145,3988,13,73,North America,13,Low Level
8,302,137,4042,14.5,73,North America,14,Low Level
8,318,150,3777,12.5,73,North America,15,Low Level
8,429,198,4952,11.5,73,North America,12,Low Level
8,400,150,4464,12,73,North America,13,Low Level
8,351,158,4363,13,73,North America,13,Low Level
8,318,150,4237,14.5,73,North America,14,Low Level
